Category,Price,Rating,Stock,Discount,Final_Price,Price_Category,Rating_Label
Home & Garden,535.0,3.05,In Stock,9.0,486.85,Budget,Good
Home & Garden,703.0,1.33,Out of Stock,4.0,674.88,Budget,Poor
Home & Garden,620.0,3.05,Out of Stock,33.0,415.4,Budget,Good
Sports,4290.0,3.24,In Stock,13.0,3732.3,Mid-Range,Good
Electronics,8171.0,2.06,Out of Stock,14.0,7027.06,Luxury,Average
Home & Garden,1305.0,3.05,In Stock,38.0,809.1,Budget,Good
Home & Garden,1078.0,4.71,In Stock,23.0,830.06,Budget,Excellent
Home & Garden,6285.0,2.61,In Stock,27.0,4588.05,Premium,Average
Home & Garden,6551.0,4.25,In Stock,5.0,6223.45,Premium,Excellent
Home & Garden,9566.0,3.05,Out of Stock,1.0,9470.34,Luxury,Good
Home & Garden,4962.0,3.05,Out of Stock,24.0,3771.12,Mid-Range,Good
Home & Garden,9442.0,2.69,In Stock,39.0,5759.62,Luxury,Average
Electronics,1521.0,3.03,In Stock,29.0,1079.91,Budget,Good
Home & Garden,1704.0,2.85,In Stock,6.0,1601.76,Budget,Average
Home & Garden,158.0,3.05,Out of Stock,12.0,139.04,Budget,Good
Home & Garden,231.0,1.44,In Stock,38.0,143.22,Budget,Poor
Sports,8041.0,4.25,In Stock,5.0,7638.95,Luxury,Excellent
Electronics,420.0,2.66,In Stock,1.0,415.8,Budget,Average
Home & Garden,7645.0,3.05,In Stock,25.0,5733.75,Luxury,Good
Sports,5297.0,3.93,In Stock,5.0,5032.15,Premium,Good
Home & Garden,4636.0,3.05,In Stock,8.0,4265.12,Mid-Range,Good
Home & Garden,7341.0,3.05,In Stock,21.0,5799.39,Premium,Good
Clothing,1971.0,3.25,In Stock,1.0,1951.29,Budget,Good
Home & Garden,4945.0,2.24,Out of Stock,7.0,4598.85,Mid-Range,Average
Clothing,3412.0,3.25,Out of Stock,24.0,2593.12,Mid-Range,Good
Clothing,2940.0,2.81,In Stock,47.0,1558.2,Mid-Range,Average
Home & Garden,4962.0,4.54,In Stock,31.0,3423.78,Mid-Range,Excellent
Home & Garden,3280.0,3.05,Out of Stock,29.0,2328.8,Mid-Range,Good
Home & Garden,409.0,3.05,Out of Stock,16.0,343.56,Budget,Good
Clothing,8690.0,3.25,Out of Stock,1.0,8603.1,Luxury,Good
Home & Garden,9287.0,4.7,In Stock,2.0,9101.26,Luxury,Excellent
Home & Garden,3590.0,4.1,Out of Stock,24.0,2728.4,Mid-Range,Excellent
Sports,7644.0,3.24,Out of Stock,26.0,5656.56,Luxury,Good
Home & Garden,2428.0,3.05,Out of Stock,47.0,1286.84,Budget,Good
Electronics,5310.0,3.65,Out of Stock,1.0,5256.9,Premium,Good
Home & Garden,2699.0,4.34,Out of Stock,40.0,1619.4,Mid-Range,Excellent
Home & Garden,3341.0,4.84,In Stock,44.0,1870.96,Mid-Range,Excellent
Home & Garden,7173.0,1.94,In Stock,13.0,6240.51,Premium,Poor
Clothing,7293.0,1.96,In Stock,29.0,5178.03,Premium,Poor
Home & Garden,4004.0,3.05,Out of Stock,31.0,2762.76,Mid-Range,Good
Home & Garden,6722.0,2.42,In Stock,8.0,6184.24,Premium,Average
Home & Garden,1328.0,2.91,In Stock,27.0,969.44,Budget,Average
Clothing,8583.0,3.25,In Stock,31.0,5922.27,Luxury,Good
Clothing,4461.0,3.25,In Stock,39.0,2721.21,Mid-Range,Good
Sports,4888.0,3.24,In Stock,2.0,4790.24,Mid-Range,Good
Home & Garden,9374.0,3.0,In Stock,28.0,6749.28,Luxury,Average
Home & Garden,8339.0,3.92,In Stock,41.0,4920.01,Luxury,Good
Home & Garden,7640.0,3.05,In Stock,0.0,7640.0,Luxury,Good
Home & Garden,1700.0,1.38,In Stock,13.0,1479.0,Budget,Poor
Home & Garden,680.0,3.05,In Stock,18.0,557.6,Budget,Good
Home & Garden,2541.0,3.63,In Stock,37.0,1600.83,Mid-Range,Good
Home & Garden,6322.0,3.05,Out of Stock,24.0,4804.72,Premium,Good
Clothing,6924.0,4.07,In Stock,24.5,5227.62,Premium,Excellent
Clothing,1103.0,3.25,In Stock,47.0,584.59,Budget,Good
Home & Garden,9686.0,1.8,Out of Stock,19.0,7845.66,Luxury,Poor
Home & Garden,8669.0,4.64,Out of Stock,12.0,7628.72,Luxury,Excellent
Home & Garden,4097.0,3.05,Out of Stock,34.0,2704.02,Mid-Range,Good
Home & Garden,8281.0,3.05,In Stock,12.0,7287.28,Luxury,Good
Home & Garden,1832.0,3.05,In Stock,28.0,1319.04,Budget,Good
Clothing,3741.0,3.25,In Stock,47.0,1982.73,Mid-Range,Good
Home & Garden,7054.0,3.05,Out of Stock,49.0,3597.54,Premium,Good
Home & Garden,6355.0,2.76,Out of Stock,0.0,6355.0,Premium,Average
Electronics,1511.0,2.97,Out of Stock,7.0,1405.23,Budget,Average
Home & Garden,1545.0,2.14,In Stock,29.0,1096.95,Budget,Average
Sports,828.0,2.15,Out of Stock,8.0,761.76,Budget,Average
Sports,6483.0,3.24,In Stock,33.0,4343.61,Premium,Good
Home & Garden,3704.0,2.94,In Stock,1.0,3666.96,Mid-Range,Average
Clothing,3650.0,1.46,In Stock,34.0,2409.0,Mid-Range,Poor
Home & Garden,6354.0,2.87,In Stock,46.0,3431.16,Premium,Average
Home & Garden,3093.0,1.1,In Stock,42.0,1793.94,Mid-Range,Poor
Sports,8585.0,3.24,In Stock,43.0,4893.45,Luxury,Good
Home & Garden,9832.0,4.97,Out of Stock,2.0,9635.36,Luxury,Excellent
Electronics,3726.0,3.03,In Stock,26.0,2757.24,Mid-Range,Good
Home & Garden,7030.0,3.05,Out of Stock,19.0,5694.3,Premium,Good
Home & Garden,5769.0,3.05,Out of Stock,18.0,4730.58,Premium,Good
Home & Garden,2883.0,2.76,Out of Stock,35.0,1873.95,Mid-Range,Average
Home & Garden,3736.0,1.03,In Stock,26.0,2764.64,Mid-Range,Poor
Home & Garden,7702.0,1.16,Out of Stock,21.0,6084.58,Luxury,Poor
Home & Garden,4437.0,3.05,In Stock,8.0,4082.04,Mid-Range,Good
Home & Garden,6987.0,3.05,In Stock,24.0,5310.12,Premium,Good
Home & Garden,7648.0,3.05,In Stock,45.0,4206.4,Luxury,Good
Home & Garden,1670.0,3.05,In Stock,13.0,1452.9,Budget,Good
Clothing,5335.0,3.25,Out of Stock,12.0,4694.8,Premium,Good
Electronics,6117.0,3.03,In Stock,26.0,4526.58,Premium,Good
Clothing,1695.0,3.14,In Stock,7.0,1576.35,Budget,Good
Clothing,4769.0,3.2,In Stock,41.0,2813.71,Mid-Range,Good
Home & Garden,8325.0,3.75,In Stock,6.0,7825.5,Luxury,Good
Home & Garden,1804.0,3.05,In Stock,7.0,1677.72,Budget,Good
Home & Garden,9951.0,3.05,In Stock,26.0,7363.74,Luxury,Good
Home & Garden,4828.0,3.05,In Stock,22.0,3765.84,Mid-Range,Good
Home & Garden,1698.0,3.09,In Stock,11.0,1511.22,Budget,Good
Home & Garden,2571.0,1.24,In Stock,22.0,2005.38,Mid-Range,Poor
Home & Garden,3691.0,4.8,In Stock,37.0,2325.33,Mid-Range,Excellent
Home & Garden,4962.0,3.05,Out of Stock,23.0,3820.74,Mid-Range,Good
Sports,6967.0,2.93,In Stock,39.0,4249.87,Premium,Average
Home & Garden,9148.0,3.05,In Stock,46.0,4939.92,Luxury,Good
Electronics,3701.0,3.03,In Stock,12.0,3256.88,Mid-Range,Good
Home & Garden,6867.0,3.05,In Stock,3.0,6660.99,Premium,Good
Home & Garden,2610.0,2.79,In Stock,10.0,2349.0,Mid-Range,Average
Home & Garden,7606.0,3.65,In Stock,24.0,5780.56,Luxury,Good
Home & Garden,3135.0,4.59,In Stock,28.0,2257.2,Mid-Range,Excellent
Sports,5597.0,3.12,In Stock,27.0,4085.81,Premium,Good
Home & Garden,1839.0,4.27,Out of Stock,16.0,1544.76,Budget,Excellent
Sports,4763.0,3.97,In Stock,42.0,2762.54,Mid-Range,Good
Home & Garden,4219.0,3.05,In Stock,37.0,2657.97,Mid-Range,Good
Home & Garden,5608.0,4.16,Out of Stock,6.0,5271.52,Premium,Excellent
Clothing,5195.0,3.69,In Stock,3.0,5039.15,Premium,Good
Home & Garden,2540.0,3.05,In Stock,40.0,1524.0,Mid-Range,Good
Home & Garden,6716.0,1.79,In Stock,7.0,6245.88,Premium,Poor
Clothing,3722.0,3.25,Out of Stock,37.0,2344.86,Mid-Range,Good
Home & Garden,8682.0,1.19,In Stock,47.0,4601.46,Luxury,Poor
Home & Garden,2647.0,3.05,In Stock,24.0,2011.72,Mid-Range,Good
Electronics,4104.0,3.03,Out of Stock,39.0,2503.44,Mid-Range,Good
Home & Garden,6952.0,4.51,In Stock,4.0,6673.92,Premium,Excellent
Home & Garden,9928.0,3.05,In Stock,49.0,5063.28,Luxury,Good
Home & Garden,5712.0,2.75,Out of Stock,45.0,3141.6,Premium,Average
Home & Garden,251.0,1.03,Out of Stock,44.0,140.56,Budget,Poor
Home & Garden,3611.0,1.92,In Stock,36.0,2311.04,Mid-Range,Poor
Home & Garden,3295.0,1.54,In Stock,11.0,2932.55,Mid-Range,Poor
Home & Garden,889.0,3.05,Out of Stock,45.0,488.95,Budget,Good
Home & Garden,1972.0,2.25,In Stock,10.0,1774.8,Budget,Average
Home & Garden,5429.0,4.96,In Stock,2.0,5320.42,Premium,Excellent
Home & Garden,4415.0,1.45,Out of Stock,45.0,2428.25,Mid-Range,Poor
Home & Garden,6889.0,3.05,In Stock,13.0,5993.43,Premium,Good
Home & Garden,4962.0,3.05,Out of Stock,16.0,4168.08,Mid-Range,Good
Sports,2507.0,3.24,Out of Stock,45.0,1378.85,Mid-Range,Good
Home & Garden,8945.0,4.67,Out of Stock,11.0,7961.05,Luxury,Excellent
Home & Garden,6533.0,1.39,In Stock,32.0,4442.44,Premium,Poor
Home & Garden,4318.0,2.13,Out of Stock,24.0,3281.68,Mid-Range,Average
Home & Garden,2173.0,3.05,Out of Stock,24.0,1651.48,Budget,Good
Home & Garden,2996.0,3.4,In Stock,49.0,1527.96,Mid-Range,Good
Sports,521.0,1.11,Out of Stock,30.0,364.7,Budget,Poor
Home & Garden,4158.0,3.26,In Stock,7.0,3866.94,Mid-Range,Good
Home & Garden,7314.0,3.05,In Stock,41.0,4315.26,Premium,Good
Home & Garden,3430.0,3.05,Out of Stock,27.0,2503.9,Mid-Range,Good
Home & Garden,4962.0,2.28,In Stock,28.0,3572.64,Mid-Range,Average
Home & Garden,5556.0,3.05,In Stock,1.0,5500.44,Premium,Good
Home & Garden,7425.0,2.33,In Stock,22.0,5791.5,Premium,Average
Home & Garden,6689.0,1.02,In Stock,20.0,5351.2,Premium,Poor
Home & Garden,5132.0,3.05,Out of Stock,43.0,2925.24,Premium,Good
Home & Garden,5475.0,3.05,Out of Stock,13.0,4763.25,Premium,Good
Home & Garden,4962.0,3.05,Out of Stock,6.0,4664.28,Mid-Range,Good
Sports,8273.0,4.15,In Stock,7.0,7693.89,Luxury,Excellent
Home & Garden,5565.0,3.05,In Stock,47.0,2949.45,Premium,Good
Clothing,4071.0,4.2,In Stock,32.0,2768.28,Mid-Range,Excellent
Home & Garden,2269.0,3.05,In Stock,31.0,1565.61,Budget,Good
Home & Garden,7671.0,2.06,In Stock,24.0,5829.96,Luxury,Average
Clothing,3472.0,3.25,Out of Stock,41.0,2048.48,Mid-Range,Good
Home & Garden,3430.0,3.05,In Stock,27.0,2503.9,Mid-Range,Good
Home & Garden,3668.0,3.05,In Stock,20.0,2934.4,Mid-Range,Good
Home & Garden,4962.0,3.05,In Stock,11.0,4416.18,Mid-Range,Good
Home & Garden,8460.0,3.05,In Stock,18.0,6937.2,Luxury,Good
Home & Garden,296.0,3.05,In Stock,11.0,263.44,Budget,Good
Home & Garden,3145.0,1.85,In Stock,15.0,2673.25,Mid-Range,Poor
Electronics,3545.0,3.03,In Stock,18.0,2906.9,Mid-Range,Good
Home & Garden,3688.0,3.05,In Stock,7.0,3429.84,Mid-Range,Good
Electronics,7243.0,3.03,Out of Stock,7.0,6735.99,Premium,Good
Electronics,5124.0,1.11,In Stock,26.0,3791.76,Premium,Poor
Home & Garden,4924.0,4.9,Out of Stock,13.0,4283.88,Mid-Range,Excellent
Home & Garden,9157.0,3.05,In Stock,49.0,4670.07,Luxury,Good
Home & Garden,1135.0,3.05,In Stock,42.0,658.3,Budget,Good
Home & Garden,4267.0,3.05,In Stock,19.0,3456.27,Mid-Range,Good
Sports,5969.0,3.24,Out of Stock,17.0,4954.27,Premium,Good
Sports,6161.0,3.24,In Stock,39.0,3758.21,Premium,Good
Home & Garden,7874.0,3.01,Out of Stock,34.0,5196.84,Luxury,Good
Home & Garden,317.0,3.05,Out of Stock,27.0,231.41,Budget,Good
Home & Garden,1557.0,3.86,In Stock,15.0,1323.45,Budget,Good
Home & Garden,571.0,3.03,In Stock,37.0,359.73,Budget,Good
Home & Garden,8282.0,4.85,Out of Stock,2.0,8116.36,Luxury,Excellent
Home & Garden,4962.0,3.05,In Stock,48.0,2580.24,Mid-Range,Good
Home & Garden,5219.0,3.05,In Stock,19.0,4227.39,Premium,Good
Home & Garden,2760.0,3.71,Out of Stock,11.0,2456.4,Mid-Range,Good
Home & Garden,9501.0,3.05,Out of Stock,15.0,8075.85,Luxury,Good
Home & Garden,7629.0,4.41,In Stock,3.0,7400.13,Luxury,Excellent
Home & Garden,6868.0,3.99,In Stock,20.0,5494.4,Premium,Good
Home & Garden,8863.0,3.05,In Stock,15.0,7533.55,Luxury,Good
Home & Garden,3465.0,3.05,Out of Stock,40.0,2079.0,Mid-Range,Good
Electronics,6319.0,3.03,Out of Stock,47.0,3349.07,Premium,Good
Home & Garden,498.0,4.26,In Stock,35.0,323.7,Budget,Excellent
Home & Garden,3452.0,3.15,In Stock,33.0,2312.84,Mid-Range,Good
Home & Garden,1802.0,3.05,Out of Stock,24.0,1369.52,Budget,Good
Home & Garden,3066.0,3.05,Out of Stock,34.0,2023.56,Mid-Range,Good
Home & Garden,2148.0,3.05,In Stock,23.0,1653.96,Budget,Good
Sports,4943.0,3.24,In Stock,14.0,4250.98,Mid-Range,Good
Home & Garden,1425.0,3.05,In Stock,25.0,1068.75,Budget,Good
Sports,1083.0,3.29,Out of Stock,28.0,779.76,Budget,Good
Home & Garden,398.0,2.13,Out of Stock,20.0,318.4,Budget,Average
Home & Garden,4902.0,3.97,Out of Stock,31.0,3382.38,Mid-Range,Good
Home & Garden,1735.0,3.51,In Stock,20.0,1388.0,Budget,Good
Home & Garden,7213.0,3.05,In Stock,7.0,6708.09,Premium,Good
Home & Garden,284.0,3.05,In Stock,7.0,264.12,Budget,Good
Sports,2655.0,3.24,In Stock,32.0,1805.4,Mid-Range,Good
Home & Garden,9029.0,1.16,In Stock,24.0,6862.04,Luxury,Poor
Home & Garden,1690.0,4.77,In Stock,11.0,1504.1,Budget,Excellent
Clothing,3837.0,3.25,Out of Stock,18.0,3146.34,Mid-Range,Good
Home & Garden,6216.0,1.91,In Stock,35.0,4040.4,Premium,Poor
Home & Garden,6135.0,4.17,Out of Stock,40.0,3681.0,Premium,Excellent
Home & Garden,5325.0,2.18,Out of Stock,11.0,4739.25,Premium,Average
Sports,9569.0,3.24,Out of Stock,32.0,6506.92,Luxury,Good
Home & Garden,6916.0,4.33,In Stock,42.0,4011.28,Premium,Excellent
Home & Garden,6993.0,3.21,Out of Stock,40.0,4195.8,Premium,Good
Electronics,1628.0,3.03,Out of Stock,11.0,1448.92,Budget,Good
Home & Garden,7891.0,2.2,In Stock,47.0,4182.23,Luxury,Average
Home & Garden,4962.0,3.05,Out of Stock,36.0,3175.68,Mid-Range,Good
Clothing,9780.0,3.25,In Stock,15.0,8313.0,Luxury,Good
Electronics,8325.0,3.03,Out of Stock,31.0,5744.25,Luxury,Good
Home & Garden,2570.0,3.05,Out of Stock,16.0,2158.8,Mid-Range,Good
Home & Garden,868.0,3.05,Out of Stock,21.0,685.72,Budget,Good
Home & Garden,9303.0,3.05,Out of Stock,13.0,8093.61,Luxury,Good
Home & Garden,4147.0,4.34,In Stock,21.0,3276.13,Mid-Range,Excellent
Home & Garden,889.0,3.05,In Stock,26.0,657.86,Budget,Good
Sports,568.0,4.48,In Stock,3.0,550.96,Budget,Excellent
Home & Garden,1466.0,2.53,In Stock,37.0,923.58,Budget,Average
Home & Garden,7111.0,3.05,In Stock,24.0,5404.36,Premium,Good
Sports,5031.0,4.92,In Stock,42.0,2917.98,Premium,Excellent
Home & Garden,8984.0,2.14,In Stock,22.0,7007.52,Luxury,Average
Clothing,5655.0,3.25,In Stock,41.0,3336.45,Premium,Good
Home & Garden,4962.0,3.05,In Stock,45.0,2729.1,Mid-Range,Good
Clothing,8082.0,3.25,In Stock,2.0,7920.36,Luxury,Good
Home & Garden,4962.0,3.37,In Stock,9.0,4515.42,Mid-Range,Good
Clothing,2137.0,3.25,In Stock,26.0,1581.38,Budget,Good
Clothing,7731.0,4.37,In Stock,32.0,5257.08,Luxury,Excellent
Electronics,7539.0,3.54,In Stock,29.0,5352.69,Luxury,Good
Home & Garden,7340.0,3.05,In Stock,24.0,5578.4,Premium,Good
Home & Garden,4672.0,3.33,In Stock,49.0,2382.72,Mid-Range,Good
Electronics,7180.0,3.03,In Stock,2.0,7036.4,Premium,Good
Clothing,4734.0,2.73,Out of Stock,0.0,4734.0,Mid-Range,Average
Home & Garden,500.0,3.05,In Stock,43.0,285.0,Budget,Good
Clothing,7257.0,3.25,In Stock,17.0,6023.31,Premium,Good
Home & Garden,3867.0,3.05,In Stock,49.0,1972.17,Mid-Range,Good
Home & Garden,7889.0,4.73,In Stock,32.0,5364.52,Luxury,Excellent
Home & Garden,1028.0,3.05,In Stock,34.0,678.48,Budget,Good
Sports,6690.0,1.59,In Stock,5.0,6355.5,Premium,Poor
Home & Garden,2359.0,4.37,In Stock,11.0,2099.51,Budget,Excellent
Home & Garden,8785.0,3.05,In Stock,22.0,6852.3,Luxury,Good
Clothing,5164.0,3.25,In Stock,27.0,3769.72,Premium,Good
Home & Garden,6036.0,3.05,In Stock,24.0,4587.36,Premium,Good
Sports,7147.0,3.24,Out of Stock,16.0,6003.48,Premium,Good
Home & Garden,5707.0,1.92,In Stock,30.0,3994.9,Premium,Poor
Sports,8421.0,1.65,In Stock,4.0,8084.16,Luxury,Poor
Home & Garden,1924.0,3.05,In Stock,20.0,1539.2,Budget,Good
Home & Garden,2642.0,3.05,Out of Stock,2.0,2589.16,Mid-Range,Good
Home & Garden,1889.0,3.08,Out of Stock,41.0,1114.51,Budget,Good
Home & Garden,2328.0,1.46,In Stock,26.0,1722.72,Budget,Poor
Clothing,7799.0,1.68,In Stock,21.0,6161.21,Luxury,Poor
Home & Garden,3867.0,3.05,In Stock,26.0,2861.58,Mid-Range,Good
Home & Garden,1940.0,1.2,Out of Stock,4.0,1862.4,Budget,Poor
Clothing,8282.0,2.12,In Stock,25.0,6211.5,Luxury,Average
Home & Garden,8773.0,3.05,In Stock,15.0,7457.05,Luxury,Good
Home & Garden,6566.0,3.05,In Stock,20.0,5252.8,Premium,Good
Home & Garden,9346.0,3.68,In Stock,39.0,5701.06,Luxury,Good
Home & Garden,5961.0,3.05,Out of Stock,3.0,5782.17,Premium,Good
Sports,8933.0,3.24,In Stock,15.0,7593.05,Luxury,Good
Home & Garden,4374.0,3.05,Out of Stock,21.0,3455.46,Mid-Range,Good
Home & Garden,4962.0,3.05,In Stock,24.0,3771.12,Mid-Range,Good
Home & Garden,4962.0,1.16,In Stock,26.0,3671.88,Mid-Range,Poor
Home & Garden,796.0,3.05,In Stock,18.0,652.72,Budget,Good
Home & Garden,2302.0,3.05,Out of Stock,10.0,2071.8,Budget,Good
Home & Garden,6806.0,3.05,In Stock,18.0,5580.92,Premium,Good
Sports,934.0,4.19,In Stock,9.0,849.94,Budget,Excellent
Home & Garden,3818.0,4.7,Out of Stock,21.0,3016.22,Mid-Range,Excellent
Home & Garden,6281.0,1.5,In Stock,43.0,3580.17,Premium,Poor
Electronics,8574.0,3.03,Out of Stock,26.0,6344.76,Luxury,Good
Home & Garden,684.0,2.33,Out of Stock,24.0,519.84,Budget,Average
Sports,4304.0,4.59,In Stock,1.0,4260.96,Mid-Range,Excellent
Electronics,9221.0,4.76,In Stock,17.0,7653.43,Luxury,Excellent
Electronics,4745.0,3.03,In Stock,0.0,4745.0,Mid-Range,Good
Sports,3740.0,3.61,In Stock,16.0,3141.6,Mid-Range,Good
Sports,440.0,1.0,Out of Stock,10.0,396.0,Budget,Poor
Home & Garden,2352.0,4.46,In Stock,37.0,1481.76,Budget,Excellent
Home & Garden,1519.0,3.05,In Stock,15.0,1291.15,Budget,Good
Electronics,1089.0,3.03,In Stock,32.0,740.52,Budget,Good
Home & Garden,8473.0,3.05,Out of Stock,19.0,6863.13,Luxury,Good
Home & Garden,1786.0,3.05,Out of Stock,14.0,1535.96,Budget,Good
Home & Garden,2993.0,3.05,Out of Stock,43.0,1706.01,Mid-Range,Good
Home & Garden,6961.0,3.53,In Stock,16.0,5847.24,Premium,Good
Home & Garden,1167.0,2.51,In Stock,47.0,618.51,Budget,Average
Home & Garden,126.0,3.05,Out of Stock,23.0,97.02,Budget,Good
Clothing,7441.0,3.25,In Stock,3.0,7217.77,Premium,Good
Sports,2242.0,4.46,Out of Stock,24.0,1703.92,Budget,Excellent
Electronics,6244.0,3.03,In Stock,41.0,3683.96,Premium,Good
Home & Garden,4477.0,4.07,In Stock,37.0,2820.51,Mid-Range,Excellent
Home & Garden,474.0,3.05,In Stock,3.0,459.78,Budget,Good
Home & Garden,4661.0,2.1,In Stock,19.0,3775.41,Mid-Range,Average
Home & Garden,3793.0,2.06,In Stock,22.0,2958.54,Mid-Range,Average
Home & Garden,5506.0,3.05,Out of Stock,29.0,3909.26,Premium,Good
Home & Garden,8437.0,3.05,In Stock,45.0,4640.35,Luxury,Good
Sports,8699.0,4.17,In Stock,30.0,6089.3,Luxury,Excellent
Home & Garden,187.0,1.75,Out of Stock,36.0,119.68,Budget,Poor
Sports,2952.0,3.24,In Stock,34.0,1948.32,Mid-Range,Good
Home & Garden,5754.0,3.05,In Stock,30.0,4027.8,Premium,Good
Home & Garden,6194.0,1.35,Out of Stock,45.0,3406.7,Premium,Poor
Home & Garden,9201.0,3.05,In Stock,14.0,7912.86,Luxury,Good
Home & Garden,7054.0,3.05,In Stock,10.0,6348.6,Premium,Good
Home & Garden,2514.0,4.58,In Stock,2.0,2463.72,Mid-Range,Excellent
Home & Garden,4773.0,2.79,In Stock,27.0,3484.29,Mid-Range,Average
Home & Garden,6258.0,3.05,Out of Stock,10.0,5632.2,Premium,Good
Home & Garden,7028.0,3.12,Out of Stock,34.0,4638.48,Premium,Good
Home & Garden,4531.0,3.05,In Stock,42.0,2627.98,Mid-Range,Good
Home & Garden,1094.0,3.05,In Stock,48.0,568.88,Budget,Good
Sports,3922.0,3.24,Out of Stock,26.0,2902.28,Mid-Range,Good
Home & Garden,6942.0,3.05,In Stock,24.0,5275.92,Premium,Good
Home & Garden,9731.0,2.18,In Stock,12.0,8563.28,Luxury,Average
Home & Garden,4579.0,3.05,In Stock,24.0,3480.04,Mid-Range,Good
Electronics,1034.0,3.03,In Stock,26.0,765.16,Budget,Good
Home & Garden,218.0,3.05,In Stock,25.0,163.5,Budget,Good
Home & Garden,7847.0,4.66,Out of Stock,46.0,4237.38,Luxury,Excellent
Sports,4565.0,3.24,Out of Stock,36.0,2921.6,Mid-Range,Good
Home & Garden,5824.0,4.15,Out of Stock,11.0,5183.36,Premium,Excellent
Electronics,4611.0,4.37,In Stock,10.0,4149.9,Mid-Range,Excellent
Home & Garden,2462.0,2.91,Out of Stock,14.0,2117.32,Budget,Average
Home & Garden,6129.0,3.37,Out of Stock,31.0,4229.01,Premium,Good
Electronics,9599.0,3.03,In Stock,36.0,6143.36,Luxury,Good
Home & Garden,6566.0,4.55,In Stock,24.0,4990.16,Premium,Excellent
Home & Garden,5615.0,2.43,In Stock,13.0,4885.05,Premium,Average
Sports,8075.0,3.24,In Stock,48.0,4199.0,Luxury,Good
Home & Garden,8968.0,3.9,Out of Stock,7.0,8340.24,Luxury,Good
Home & Garden,9714.0,3.05,Out of Stock,10.0,8742.6,Luxury,Good
Home & Garden,5941.0,3.05,Out of Stock,38.0,3683.42,Premium,Good
Home & Garden,3770.0,3.05,Out of Stock,10.0,3393.0,Mid-Range,Good
Home & Garden,4221.0,3.47,In Stock,32.0,2870.28,Mid-Range,Good
Home & Garden,8086.0,3.05,In Stock,19.0,6549.66,Luxury,Good
Home & Garden,5672.0,3.05,In Stock,12.0,4991.36,Premium,Good
Home & Garden,6479.0,2.82,In Stock,32.0,4405.72,Premium,Average
Home & Garden,4793.0,2.71,In Stock,28.0,3450.96,Mid-Range,Average
Clothing,9379.0,1.87,In Stock,23.0,7221.83,Luxury,Poor
Home & Garden,8215.0,2.29,Out of Stock,13.0,7147.05,Luxury,Average
Electronics,4745.0,3.03,In Stock,24.0,3606.2,Mid-Range,Good
Sports,282.0,3.24,In Stock,23.0,217.14,Budget,Good
Home & Garden,4844.0,3.78,Out of Stock,49.0,2470.44,Mid-Range,Good
Clothing,5638.0,3.25,In Stock,12.0,4961.44,Premium,Good
Home & Garden,8823.0,1.13,Out of Stock,24.0,6705.48,Luxury,Poor
Home & Garden,4690.0,3.92,In Stock,22.0,3658.2,Mid-Range,Good
Home & Garden,3475.0,4.72,Out of Stock,6.0,3266.5,Mid-Range,Excellent
Home & Garden,4609.0,3.05,In Stock,5.0,4378.55,Mid-Range,Good
Home & Garden,9265.0,3.05,In Stock,23.0,7134.05,Luxury,Good
Home & Garden,5724.0,3.05,Out of Stock,13.0,4979.88,Premium,Good
Home & Garden,1503.0,2.87,Out of Stock,49.0,766.53,Budget,Average
Home & Garden,4119.0,3.05,In Stock,15.0,3501.15,Mid-Range,Good
Home & Garden,4962.0,3.05,Out of Stock,33.0,3324.54,Mid-Range,Good
Clothing,3216.0,3.25,In Stock,28.0,2315.52,Mid-Range,Good
Clothing,4799.0,3.25,In Stock,41.0,2831.41,Mid-Range,Good
Home & Garden,3557.0,3.05,In Stock,44.0,1991.92,Mid-Range,Good
Home & Garden,3496.0,1.93,In Stock,41.0,2062.64,Mid-Range,Poor
Clothing,9572.0,3.25,Out of Stock,27.0,6987.56,Luxury,Good
Home & Garden,3010.0,4.34,Out of Stock,41.0,1775.9,Mid-Range,Excellent
Home & Garden,1121.0,3.05,Out of Stock,27.0,818.33,Budget,Good
Sports,5950.0,4.42,In Stock,18.0,4879.0,Premium,Excellent
Home & Garden,945.0,4.13,In Stock,34.0,623.7,Budget,Excellent
Home & Garden,7711.0,1.41,Out of Stock,19.0,6245.91,Luxury,Poor
Home & Garden,1762.0,2.84,In Stock,1.0,1744.38,Budget,Average
Home & Garden,3321.0,3.6,In Stock,24.0,2523.96,Mid-Range,Good
Home & Garden,1839.0,3.96,In Stock,39.0,1121.79,Budget,Good
Sports,6313.0,1.55,In Stock,10.0,5681.7,Premium,Poor
Home & Garden,2849.0,1.8,Out of Stock,40.0,1709.4,Mid-Range,Poor
Home & Garden,3193.0,2.39,In Stock,24.0,2426.68,Mid-Range,Average
Home & Garden,6483.0,4.26,In Stock,34.0,4278.78,Premium,Excellent
Sports,6433.0,3.24,In Stock,5.0,6111.35,Premium,Good
Home & Garden,9519.0,3.06,In Stock,12.0,8376.72,Luxury,Good
Home & Garden,3280.0,3.05,In Stock,25.0,2460.0,Mid-Range,Good
Home & Garden,4105.0,3.05,In Stock,17.0,3407.15,Mid-Range,Good
Home & Garden,5258.0,3.05,Out of Stock,25.0,3943.5,Premium,Good
Home & Garden,4962.0,3.74,Out of Stock,27.0,3622.26,Mid-Range,Good
